"ABMD","LBMD"
.879,.577
.824,.622
.974,.643
.909,.664
.872,.559
.93,.663
.912,.71
.758,.592
1.072,.702
.847,.655
1,.518
.565,.354
1.036,.839
.811,.572
.901,.612
1.052,.663
.731,.376
.637,.488
.951,.747
.822,.61
.951,.71
1.026,.694
1.022,.58
1.098,.534
.882,.57
.816,.558
1.017,.675
.669,.59
.857,.666
.571,.474
1.134,.711
.705,.492
.775,.348
.968,.579
.963,.665
.933,.626
.704,.194
.624,.429
1.119,.707
.686,.508
.741,.484
1.028,.787
.649,.469
1.166,.796
.954,.548
.666,.545
1.047,.706
.737,.526
1.091,.836
.746,.433
1.127,.732
1.411,.766
.751,.397
.786,.515
1.031,.574
.622,.506
.848,.657
.778,.537
.784,.419
.659,.429
.948,.485
.634,.544
.946,.55
1.107,.458
1.583,.975
1.026,.55
