"SUBJ","X","Y"
1,74.75,25.72
2,72.6,25.89
3,81.8,42.6
4,83.95,42.8
5,74.65,29.84
6,71.85,21.68
7,80.9,29.08
8,83.4,32.98
9,63.5,11.44
10,73.2,32.22
11,71.9,28.32
12,75,43.86
13,73.1,38.21
14,79,42.48
15,77,30.96
16,68.85,55.78
17,75.95,43.78
18,74.15,33.41
19,73.8,43.35
20,75.9,29.31
21,76.85,36.6
22,80.9,40.25
23,79.9,35.43
24,89.2,60.09
25,82,45.84
26,92,70.4
27,86.6,83.45
28,80.5,84.3
29,86,78.89
30,82.5,64.75
31,83.5,72.56
32,88.1,89.31
33,90.8,78.94
34,89.4,83.55
35,102,127
36,94.5,121
37,91,107
38,103,129
39,80,74.02
40,79,55.48
41,83.5,73.13
42,76,50.5
43,80.5,50.88
44,86.5,140
45,83,96.54
46,107.1,118
47,94.3,107
48,94.5,123
49,79.7,65.92
50,79.3,81.29
51,89.8,111
52,83.8,90.73
53,85.2,133
54,75.5,41.9
55,78.4,41.71
56,78.6,58.16
57,87.8,88.85
58,86.3,155
59,85.5,70.77
60,83.7,75.08
61,77.6,57.05
62,84.9,99.73
63,79.8,27.96
64,108.3,123
65,119.6,90.41
66,119.9,106
67,96.5,144
68,105.5,121
69,105,97.13
70,107,166
71,107,87.99
72,101,154
73,97,100
74,100,123
75,108,217
76,100,140
77,103,109
78,104,127
79,106,112
80,109,192
81,103.5,132
82,110,126
83,110,153
84,112,158
85,108.5,183
86,104,184
87,111,121
88,108.5,159
89,121,245
90,109,137
91,97.5,165
92,105.5,152
93,98,181
94,94.5,80.95
95,97,137
96,105,125
97,106,241
98,99,134
99,91,150
100,102.5,198
101,106,151
102,109.1,229
103,115,253
104,101,188
105,100.1,124
106,93.3,62.2
107,101.8,133
108,107.9,208
109,108.5,208
